Episode, (Transfer RGB), (Transfer RGBD)
564,1.89E-01,1.31E+01
565,3.43E-02,2.80E+00
566,1.87E+00,2.18E+00
567,2.14E+00,1.82E+00
568,2.58E+00,9.71E-01
569,1.92E+00,1.37E+00
570,1.09E-01,2.10E+00
571,2.57E-01,1.41E+00
572,2.27E-01,1.75E+00
573,2.71E-01,3.32E+00
574,2.22E+00,1.15E+01
575,2.45E-01,3.75E+00
576,1.15E-01,7.97E+00
577,1.55E-01,7.81E+00
578,1.79E+00,7.81E+00
579,1.61E+00,7.81E+00
580,2.18E-01,7.81E+00
581,6.72E-02,1.62E+01
582,1.64E+00,9.95E+00
583,1.50E-01,9.95E+00
584,1.07E-01,9.95E+00
585,1.96E-01,9.95E+00
586,1.76E+00,1.21E+01
587,2.44E-01,1.01E+01
588,1.79E-01,9.83E+00
589,7.37E-02,9.83E+00
590,1.19E+00,9.83E+00
591,2.10E-01,9.83E+00
592,1.14E-01,7.80E+00
593,7.80E-01,1.28E+01
594,2.56E-01,6.44E+00
595,5.00E-01,9.69E+00
596,9.91E-02,2.54E+00
597,1.81E+00,1.25E+01
598,1.48E-01,7.57E+00
599,2.52E+00,1.93E+01
600,4.73E-01,1.90E+01
601,4.07E-01,6.64E+00
602,3.00E-01,6.89E+00
603,1.29E-01,6.89E+00
604,2.96E-01,9.92E+00
605,8.40E-02,1.06E+01
606,1.30E-01,8.76E+00
607,1.92E-01,8.08E+00
608,1.15E-01,9.21E+00
609,1.10E-01,6.09E+00
610,3.96E-01,6.09E+00
611,4.37E-02,6.09E+00
612,1.06E+00,6.10E+00
613,3.54E-01,7.41E+00
614,1.60E+00,6.05E+00
615,1.22E-01,9.75E+00
616,2.33E-01,9.75E+00
617,8.75E-01,9.75E+00
618,8.59E-01,1.02E+01
619,2.08E-01,8.23E+00
620,2.34E+00,6.22E+00
621,2.05E+00,1.36E+01
622,7.02E-01,1.16E+01
623,5.57E-02,1.16E+01
624,3.78E+00,5.98E+00
625,3.79E+00,5.17E+00
626,3.78E+00,9.83E+00
627,3.78E+00,9.64E+00
628,7.28E+00,1.52E+01
629,1.50E-01,1.52E+01
630,5.65E+00,1.52E+01
631,6.60E+00,1.52E+01
632,6.60E+00,1.90E+01
633,1.54E+01,6.80E+00
634,1.53E+01,1.92E+01
635,1.53E+01,1.17E+01
636,1.53E+01,1.06E+01
637,5.23E+00,4.65E+00
638,4.62E+00,1.44E+01
639,5.46E+00,1.44E+01
640,5.46E+00,1.44E+01
641,5.46E+00,5.47E+00
642,5.46E+00,1.07E+01
643,1.07E+01,1.17E+01
644,4.05E+00,1.04E+01
645,3.34E+00,6.07E+00
646,3.34E+00,3.57E+00
647,3.34E+00,4.32E+00
648,9.79E+00,9.84E+00
649,9.61E+00,9.84E+00
650,9.61E+00,9.84E+00
651,9.61E+00,1.10E+01
652,1.49E+01,1.21E+01
653,1.30E+01,1.43E+01
654,1.30E+01,1.10E+01
655,1.30E+01,1.15E+01
656,1.31E+01,7.14E+00
657,1.20E+01,1.13E+01
658,7.88E+00,5.07E+00
659,1.86E-01,1.01E+01
660,3.70E-02,6.05E+00
661,6.75E+00,5.95E+00
662,6.93E+00,5.47E+00
663,7.03E+00,5.17E+00
664,6.75E+00,7.85E+00
665,4.26E+00,1.06E+01
666,1.06E+01,1.06E+01
667,1.06E+01,2.88E+00
668,8.06E+00,6.32E+00
669,3.90E+00,4.37E+00
670,5.85E+00,1.02E+01
671,3.67E+00,1.02E+01
672,8.40E+00,7.12E+00
673,8.40E+00,7.27E+00
674,8.34E+00,5.71E+00
675,8.40E+00,8.08E+00
676,4.88E+00,2.11E+00
677,2.12E+00,8.11E+00
678,1.58E+01,8.11E+00
679,1.58E+01,8.11E+00
680,1.58E+01,8.11E+00
681,1.58E+01,1.10E+01
682,1.92E-01,1.10E+01
683,1.53E+01,1.10E+01
684,1.53E+01,1.10E+01
685,1.53E+01,5.70E+00
686,2.53E+00,1.04E+01
687,4.95E-01,1.03E+01
688,1.52E+01,6.69E+00
689,1.52E+01,1.06E+01
690,1.52E+01,1.30E+01
691,1.52E+01,1.78E+01
692,1.90E-01,1.18E+01
693,4.57E+00,6.38E+00
694,4.57E+00,9.99E+00
695,3.37E+00,9.88E+00
696,2.71E+00,9.88E+00
697,4.15E-01,9.88E+00
698,5.30E+00,5.24E+00
699,5.30E+00,1.45E+01
700,5.30E+00,7.70E+00
701,6.01E+00,1.02E+01
702,3.18E-01,4.04E+00
703,8.37E+00,9.01E+00
704,8.18E+00,8.92E+00
705,8.18E+00,8.65E+00
706,1.56E+00,5.79E+00
707,1.46E+00,6.03E+00
708,7.63E-01,6.17E+00
709,7.63E-01,7.39E+00
710,7.63E-01,1.10E+01
711,7.63E-01,8.52E+00
712,5.70E-01,9.87E+00
713,6.83E-01,8.85E+00
714,8.15E-01,8.85E+00
715,2.10E-01,8.85E+00
716,3.70E-01,5.09E+00
717,1.76E+00,7.46E+00
718,7.80E-02,5.27E+00
719,1.66E-01,8.14E+00
720,2.71E-01,7.23E+00
721,3.54E-01,6.64E+00
722,9.40E-01,4.92E+00
723,1.36E-01,1.13E+01
